,m=0,m=1,m=2,m=3,m=4,m=5
n=0,0.0,0.0,0.0,0.0,0.0,0.0
n=1,0.0,1.0,1.2904546490875854,1.4980389331128934,1.6652732013517635,1.8077430252682822
n=2,0.0,2.0,2.580909298175171,2.9960778662257868,3.330546402703527,3.6154860505365645
n=3,0.0,3.0,3.8713639472627563,4.494116799338681,4.99581960405529,5.423229075804847
n=4,0.0,4.0,5.161818596350342,5.9921557324515735,6.661092805407054,7.230972101073129
n=5,0.0,5.0,6.452273245437928,7.4901946655644664,8.326366006758818,9.038715126341412
